,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:43:42,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:44:42,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:45:42,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:46:43,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:47:43,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:48:43,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:49:43,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:50:43,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:51:43,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:52:44,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:53:44,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:54:46,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:55:48,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

00/00/2000 00:00:00,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:57:51,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

00/00/2000 00:00:00,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 13:59:55,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:00:57,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

00/00/2000 00:00:00,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:03:01,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:04:03,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:05:03,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:06:06,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:07:09,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:08:11,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

00/00/2000 00:00:00,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:10:14,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:11:16,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:12:17,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

00/00/2000 00:00:00,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:14:20,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:15:22,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:17:37,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:18:37,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:19:38,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:20:38,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:21:38,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:22:38,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:23:38,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:24:38,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:25:39,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:26:39,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:27:39,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:28:39,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:29:39,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:30:39,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:31:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:32:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:33:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:34:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:35:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:36:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:37:41,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:38:41,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:39:41,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:40:41,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:41:42,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

08/03/2021 14:42:44,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:19:19,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:20:21,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

00/00/2000 00:00:00,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:22:24,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:23:26,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:24:27,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:25:27,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:26:29,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:27:30,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:28:31,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:29:31,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:30:33,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:31:35,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:32:35,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:33:38,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:34:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:35:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:36:40,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:37:41,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:38:43,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:39:45,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 10:41:05,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 11:30:13,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 11:31:14,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

00/00/2000 00:00:00,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 11:33:51,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 11:34:52,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

10/03/2021 11:35:53,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

00/00/2000 00:00:00,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 00:59:50,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 03:16:51,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 03:17:53,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 03:18:56,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 03:22:18,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 03:23:19,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 03:24:22,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 03:25:23,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
,The requested operation was succesfully.,,

01/01/2000 03:26:23,Register address,Register name,Register value
,0x0005,Current,424.05
,Magellan response,,
